course_id,course_code,course_title,course_description,created_at
214,214,CSS and SVG - The Dynamic Duo,"Explore the dynamic synergy between CSS and SVG for creating interactive, responsive web graphics. Learn techniques for animations, styling, and enhancing SVG with CSS to elevate your web design skills.",2025-10-29 22:42:30
215,215,The Evolution of CSS4 Color,"Explore the evolution of CSS4 Color with Chris Lilley, covering ICC profiles, CIE Lab, and rendering intents. Learn about color management, practical applications, and the future of web color standards.",2025-10-29 22:42:30
216,216,CSS for Software Engineers - Writing Better CSS Using Engineering Principles,"Explore software engineering principles applied to CSS development, enhancing code quality, maintainability, and scalability in web design and development.",2025-10-29 22:42:30
217,217,"CSS for Evil, Not Good","Explore the potential misuse of CSS for deception and manipulation in web design, examining ethical implications and raising awareness about responsible development practices.",2025-10-29 22:42:30
218,218,CSS Shapes and Vector Graphics: A Tale of Four Properties,"Exploring CSS shape-related properties: clip-path, basic shapes, and the unexpected path() function. Learn to navigate these complex features for creative web design.",2025-10-29 22:42:30
219,219,The Far Future of CSS - Exploring Advanced Features and Customization,"Explore the future of CSS with Tab Atkins, delving into custom properties, functions, and layouts. Gain insights on upcoming features and potential developments in web styling.",2025-10-29 22:42:30
220,220,Writing Modes and CSS Typography for Global Languages,"Explore CSS Writing Modes for inclusive web design, supporting diverse scripts and languages. Learn to implement vertical typesetting and create graphic design effects using writing mode properties.",2025-10-29 22:42:30
221,221,CSS Reset - Redesigning CSS from Scratch,"Inventors of CSS discuss potential redesigns, exploring syntax choices and simplification for improved interoperability in this thought-provoking talk on the evolution of web styling.",2025-10-29 22:42:30
222,222,Box Alignment in CSS - Understanding Layout and Positioning,Explore CSS box alignment techniques and their interactions with other layout properties. Learn how to effectively position and align content for better web design and user experience.,2025-10-29 22:42:30
223,223,CSS on Today's Web Platform - View Source 2019,"Explore CSS evolution, pragmatic solutions, and upcoming APIs. Dive into grid layouts, variable fonts, and Houdini, discovering modern techniques for web development challenges.",2025-10-29 22:42:30
224,224,Demystifying Modern CSS Layouts with DevTools,"Explore modern CSS layouts using Firefox DevTools. Learn to visualize and understand Flexbox, Grid, and Box alignment properties for responsive web design.",2025-10-29 22:42:30
225,225,Demystifying CSS Container Queries with Miriam Suzanne,"Explore CSS Container Queries with expert Miriam Suzanne. Learn implementation, responsive design techniques, and practical applications for more powerful and flexible styling approaches.",2025-10-29 22:42:30
226,226,Exactly How to Use CSS Sprites to Improve Website Performance,"Learn to optimize web performance using CSS sprites, reducing HTTP requests and improving load times for faster, more efficient websites.",2025-10-29 22:42:30
227,227,Simultaneous Multithreading: Revolutionizing Processor Architecture - 2020 Women's Research Day Keynote,Renowned computer scientist Susan Eggers discusses her groundbreaking work on Simultaneous Multithreading and shares insights from her distinguished career in this inspiring keynote address.,2025-10-29 22:42:30
228,228,Network Security - Lecture 9,"Advanced network protocols and distributed systems concepts explored, focusing on scalability, fault tolerance, and performance optimization in large-scale distributed environments.",2025-10-29 22:42:30
229,229,Network Security - Lecture 7,"Explore advanced concepts in computer science, focusing on key algorithms, data structures, and problem-solving techniques to enhance your programming skills and theoretical understanding.",2025-10-29 22:42:30
230,230,Network Security - Lecture 5,"Explore advanced network algorithms and protocols, focusing on routing techniques, distributed systems, and network optimization strategies.",2025-10-29 22:42:30
231,231,Network Security - Lecture 4,"Explore advanced concepts in computer science, focusing on cutting-edge algorithms, data structures, and problem-solving techniques in this comprehensive lecture from the Paul G. Allen School.",2025-10-29 22:42:30
232,232,Network Security and Cryptography - Lecture 2,"Explore advanced network algorithms, protocols, and architectures in this comprehensive lecture on computer networking fundamentals and cutting-edge technologies.",2025-10-29 22:42:30
233,233,Machine Learning Fundamentals - Lecture 6,"Explore advanced machine learning concepts, focusing on decision trees, ensemble methods, and boosting algorithms for improved predictive modeling and data analysis.",2025-10-29 22:42:30
234,234,Graduate Student Research Showcase - Hodgepodge,"Diverse research presentations by Allen School graduate students, showcasing innovative projects and cutting-edge findings in computer science and related fields.",2025-10-29 22:42:30
235,235,"Computational Fabrication: Interactivity, Design, and Wireless Analytics - Lecture Series","Exploring computational fabrication: from interactive 3D printing to functional CAD programming, wireless analytics for printed objects, and machine knitting texture design.",2025-10-29 22:42:30
236,236,Distributed Systems: Replication and Consistency - Lecture 3,"Explore advanced topics in computer science, focusing on cutting-edge research and emerging technologies in the field of artificial intelligence and machine learning.",2025-10-29 22:42:30
237,237,CSEP 590A - Lecture 2,"Explore advanced topics in computer science, covering cutting-edge algorithms, data structures, and problem-solving techniques in this comprehensive lecture series.",2025-10-29 22:42:30
239,239,CSEP 501 - Compilers for Computer Languages - Lecture 9,"Explore advanced compiler optimization techniques, focusing on data-flow analysis and its applications in program transformation and code improvement.",2025-10-29 22:42:30
240,240,CSEP 501 - Compilers for Computer Languages - Lecture 7,"Explore advanced compiler optimization techniques, focusing on data-flow analysis and its applications in program transformation and code improvement.",2025-10-29 22:42:30
242,242,Distributed Systems: Consensus and Replication - Lecture 10,"Explore advanced topics in distributed systems, focusing on consensus algorithms, fault tolerance, and scalability in large-scale networks.",2025-10-29 22:42:30
243,243,Distributed Systems: Consensus and Replication - Lecture 8,"Explore advanced topics in distributed systems, focusing on consensus algorithms, fault tolerance, and scalability in large-scale networks.",2025-10-29 22:42:30
244,244,Distributed Systems: Replication and Consistency - Lecture 4,"Explore advanced distributed systems concepts, focusing on consensus algorithms, fault tolerance, and scalability in large-scale networks.",2025-10-29 22:42:30
245,245,Distributed Systems: Logical Time and Causality - Lecture 3,"Explore advanced distributed systems concepts, focusing on consensus algorithms, fault tolerance, and scalability in large-scale networked environments.",2025-10-29 22:42:30
246,246,Distributed Systems: Synchronization and Coordination - Lecture 2,"Explore advanced distributed systems concepts, focusing on consensus algorithms, fault tolerance, and scalability in large-scale networked environments.",2025-10-29 22:42:30
247,247,Database Management Systems - Lecture 9,"Explore advanced database concepts and techniques in this comprehensive lecture, focusing on query optimization, indexing strategies, and performance tuning for efficient data management.",2025-10-29 22:42:30
248,248,Natural Language Processing - Lecture 7,"Explore advanced topics in computer science, focusing on cutting-edge algorithms, data structures, and theoretical concepts to enhance problem-solving skills and deepen understanding of computational complexity.",2025-10-29 22:42:30
249,249,Operating Systems - Lecture 9,"Explore advanced concepts in computer science, focusing on cutting-edge topics and research areas. Gain insights into current trends and future directions in the field.",2025-10-29 22:42:30
250,250,Operating Systems - Lecture 8,"Explore advanced concepts in computer science, focusing on cutting-edge topics and research areas. Gain insights into complex algorithms and theoretical foundations.",2025-10-29 22:42:30
251,251,Operating Systems - Lecture 7,"Explore advanced concepts in computer science, focusing on key topics and algorithms discussed in Lecture 7 of this graduate-level course.",2025-10-29 22:42:30
252,252,Operating Systems - Lecture 5,"Explore advanced concepts in computer science, focusing on key topics covered in Lecture 5 of CSEP 551, designed to deepen understanding and practical skills in the field.",2025-10-29 22:42:30
253,253,Distributed Systems: Consensus and Replication - Lecture 10,Explore advanced topics in computer science with in-depth discussions on cutting-edge research and emerging technologies in this comprehensive lecture series.,2025-10-29 22:42:30
254,254,Introduction to Natural Language Processing - Lecture 9,"Explore advanced topics in computer science, focusing on cutting-edge research and emerging technologies in the field of software engineering and programming.",2025-10-29 22:42:30
255,255,Distributed Systems: Consensus and Replication - Lecture 7,Explore advanced topics in computer science with a focus on cutting-edge research and emerging technologies in this graduate-level lecture series.,2025-10-29 22:42:30
256,256,Compilers and Language Design - Lecture 8,"Explore advanced compiler optimization techniques, focusing on data-flow analysis and its applications in program transformation and code improvement.",2025-10-29 22:42:30
257,257,CSEP 501 - Compilers for Computer Languages - Lecture 6,"Explore advanced compiler techniques, optimization strategies, and code generation methods for efficient program execution in modern computing systems.",2025-10-29 22:42:30
258,258,Compilers and Language Design - Lecture 4,"Explore advanced compiler techniques, optimization strategies, and code generation methods for modern programming languages in this comprehensive lecture.",2025-10-29 22:42:30
260,260,Database Management Systems - Lecture 7,"Explore advanced database concepts, query optimization techniques, and efficient data management strategies in this comprehensive lecture on modern database systems.",2025-10-29 22:42:30
261,261,Database Management Systems - Lecture 6,"Explore advanced database concepts, query optimization techniques, and efficient data management strategies in this comprehensive lecture on modern database systems.",2025-10-29 22:42:30
262,262,Database Management Systems - Lecture 2,"Explore relational algebra, SQL basics, and query optimization techniques for efficient database management and data manipulation.",2025-10-29 22:42:30
263,263,Indigitalization: Indigenous Computing Theory,"Exploring Indigenous cultural knowledge as a framework for computing science, proposing an Indigenization approach to disrupt Western design principles and create more inclusive technologies.",2025-10-29 22:42:30
264,264,Refinement Type Systems and Martin Lof Type Theory,"Explores refinement type systems, their connection to Martin-Lof type theory, and various notions of comprehension. Discusses recent work on functors as type refinement systems and Isbell duality theorem.",2025-10-29 22:42:30
266,266,The Garden and The Treadmill - CSS Creativity and Modern Layout Techniques,Exploring CSS creativity: from Zen Garden to modern layout techniques. Discover how to prototype rapidly and unleash your design potential with current CSS features.,2025-10-29 22:42:30
267,267,"Conjectures, Results, and Myths in Interactive Computation - 2005 Lecture","Explore interactive computation paradigms, challenging traditional algorithmic models. Gain insights into Persistent Turing Machines and their implications for computational expressiveness and software engineering.",2025-10-29 22:42:30
268,268,Cyberinfrastructure Needs for Field Geology - Insights from Yosemite and Owens Valley,Explore challenges and opportunities for AI in field geology through a computer scientist's perspective on a unique interdisciplinary field trip to Yosemite and Owens Valley.,2025-10-29 22:42:30
269,269,"Grow, Shrink and Appear on Container Hover - CSS Tutorial","Learn CSS techniques for dynamic container hover effects: grow, shrink, and appear animations using transitions and opacity.",2025-10-29 22:42:30
270,270,Probabilistic Machine Learning - Lecture 17,Dive into advanced data science concepts through a comprehensive graduate-level lecture covering key theoretical foundations and practical applications in modern data analysis and machine learning.,2025-10-29 22:42:30
271,271,Styling the Future: A Deep Dive into Modern CSS,"Explore cutting-edge CSS features like Layers, parent selectors, and container queries. Learn to create dynamic, adaptable layouts with viewport units and style queries for more responsive and organized web design.",2025-10-29 22:42:30
272,272,Utility First CSS Isn't Inline Styles,"Explore utility-first CSS with Sarah Dayan, debunking misconceptions and showcasing its power in modern web development for efficient, scalable, and maintainable stylesheets.",2025-10-29 22:42:30
273,273,Adversarially Robust Streaming Algorithms,"Explore techniques for designing streaming algorithms that maintain accuracy under adversarial data manipulation, enhancing resilience in data processing systems.",2025-10-29 22:42:30
274,274,Styling Buttons with HTML and CSS - Live Coding Session,Learn to style buttons using HTML and CSS in this interactive live-coding session. Enhance your web development skills with practical examples and expert guidance.,2025-10-29 22:42:30
275,275,Computing with or Despite the Computer - IPAM at UCLA,"Explore the interplay between manual, computer-assisted, and formally verified computations in number theory, examining challenges and opportunities in mathematical research.",2025-10-29 22:42:30
276,276,A Year of Servo Reboot - Where Are We Now?,"Explore Servo's journey as an experimental rendering engine, its recent developments, collaboration with Tauri, and future plans for becoming an alternative in the embedded devices industry.",2025-10-29 22:42:30
277,277,Character Modeling in CSS,"Explore advanced CSS techniques for creating dynamic, interactive character models, enhancing web design with engaging visual elements and animations.",2025-10-29 22:42:30
278,278,CSS Between the Pages - DevWorld 2024,Explore innovative CSS techniques for seamless page transitions and enhanced user experiences in web applications.,2025-10-29 22:42:30
279,279,Layout and Reading Order in CSS - CSS Day 2024,"Explore CSS layout techniques and their impact on reading order with Rachel Andrew, focusing on creating accessible and logically structured web content.",2025-10-29 22:42:30
280,280,Stop Using JavaScript for That: Moving Features from CSS to HTML,"Explore modern CSS and HTML features to reduce JavaScript reliance, enhancing performance and accessibility in web development. Learn practical techniques for common UI components.",2025-10-29 22:42:30
281,281,Petrinets: What Are They and How Can They Help Us?,"Explore Petri nets: their concepts, mathematical representation, and applications in computer science. Learn about system design, graphical representation, and simulation tools.",2025-10-29 22:42:30
282,282,Igniting Potential: Overcoming Barriers to Coding in Africa,"Discover innovative approaches to teaching coding without computers in under-resourced areas of Africa, breaking barriers and empowering thousands of learners with essential skills through engaging, unplugged activities.",2025-10-29 22:42:30
283,283,CSS Units - Fixed and Relative Length Measurements - Demo,"Explore fixed and relative CSS length units, including px, , em, rem, viewport units, and more. Gain practical insights through demonstrations.",2025-10-29 22:42:30
284,284,"CSS Transform, Transition, and Animation Properties - Demo","Explore CSS transform, transition, and animation properties through hands-on demos and practical examples.",2025-10-29 22:42:30
285,285,"Cascading Style Sheets: Selectors, Font and Text Styling, Padding, Border, Inherit, and Background","Master CSS fundamentals: selectors, fonts, text styling, padding, borders, inheritance, and backgrounds. Enhance your web design skills with practical examples.",2025-10-29 22:42:30
286,286,CSS Pseudo-classes Demonstration,"Explore CSS pseudo-classes like first-child, nth-child, :hover, and more to enhance webpage interactivity and styling precision.",2025-10-29 22:42:30
287,287,"CSS Tutorial: Inline, Embedded and External Styles - Web Programming","Learn to differentiate and implement inline, embedded, and external CSS styles through practical demonstrations and examples.",2025-10-29 22:42:30
290,290,Cascading Style Sheets (CSS) - Designing Tables,"Aprenda a projetar tabelas atraentes e funcionais usando CSS. Domine técnicas para estilizar cabeçalhos, células e bordas de tabelas.",2025-10-29 22:42:30
291,291,"CSS Position Property - Static, Relative, Absolute, Fixed, and Sticky","Explore CSS positioning techniques: static, relative, absolute, fixed, and sticky. Master element placement for dynamic web layouts.",2025-10-29 22:42:30
293,293,Colloquium - Advances in Natural Language Processing,Discover cutting-edge research insights and academic perspectives as David Smith from UIUC presents his work and findings in this engaging academic colloquium from the Paul G. Allen School.,2025-10-29 22:42:30
294,294,How to Use CSS Anchor Positioning Today,"Discover how to implement CSS anchor positioning for tooltips and innovative web experiences, with practical guidance for immediate application in your projects.",2025-10-29 22:42:30
295,295,Side-by-Side Scrolling Effect with Scroll Magic,"Discover how to create a side-by-side scrolling effect with text fading in based on right-side content, adding a unique touch to your website without using GSAP. Includes mobile-responsive CSS solutions.",2025-10-29 22:42:30
296,296,Learn CSS Display Property - Full Tutorial,"Master the CSS display property, including block, inline, flex, grid, and flow concepts. Understand document flow fundamentals to effectively control layout and positioning in your web designs.",2025-10-29 22:42:30
300,300,Computer Science: Programming with a Purpose,"Learn essential programming concepts and skills using Java, covering variables, conditionals, loops, arrays, functions, recursion, and object-oriented programming. Develop problem-solving abilities applicable in modern computing environments.",2025-10-29 22:42:30
301,301,Introduction to Logic,"Explore computational logic: encode information, reason logically, and discover applications in various fields. Gain a solid foundation in propositional, relational, and functional logic.",2025-10-29 22:42:30
307,307,Introduction to Computer Science and Programming (Fall 2008),This subject is aimed at students with little or no programming experience. It aims to provide students with an understanding of the role computation can play in solving problems.,2025-10-29 22:42:30
308,308,Introduction to Software Product Management,"Learn to build better software through effective product management, covering Agile principles, processes, requirements, planning, and monitoring for successful software development.",2025-10-29 22:42:30
310,310,Mathematics for Computer Science,This course covers elementary discrete mathematics for computer science and engineering. It emphasizes mathematical definitions and proofs as well as applicable methods.,2025-10-29 22:42:30
313,313,Introduction to Computer Science and Programming (Spring 2011),This subject is aimed at students with little or no programming experience. It aims to provide students with an understanding of the role computation can play in solving problems.,2025-10-29 22:42:30
315,315,Computer Science for Game Development,"Learn computer science fundamentals and game development techniques to create your own video games using popular frameworks and languages like Unity, LÖVE 2D, Lua, and C.",2025-10-29 22:42:30
316,316,Computer Science for Web Programming,"Learn to build web applications using Python, JavaScript, and SQL. Gain hands-on experience with frameworks like Flask, Django, and Bootstrap. Develop skills in API creation, UI design, and cloud services deployment.",2025-10-29 22:42:30
317,317,Foundations of Computer Science,"Explore algorithms, computer hardware, networks, and software fundamentals. Gain essential knowledge for programming in Visual Basic, including binary systems, Boolean logic, and database concepts.",2025-10-29 22:42:30
318,318,Computer Science for Artificial Intelligence,"Comprehensive introduction to computer science and AI, covering programming fundamentals, algorithms, and machine learning. Hands-on projects develop skills for designing intelligent systems and solving real-world problems.",2025-10-29 22:42:30
319,319,Computer Science by CrashCourse,"In 40 episodes, Carrie Anne Philbin teaches you computer science! This course is based on introductory college-level material as well as the AP Computer Science Principles guidelines.",2025-10-29 22:42:30
320,320,Introduction to Computer Science and Programming,"Comprehensive introduction to computer science fundamentals, programming skills, and essential mathematical concepts for aspiring developers and tech enthusiasts.",2025-10-29 22:42:30
326,326,Ace the Computer Science Interview: Strategies for Success,"Comprehensive strategies for acing computer science interviews, covering key concepts, coding techniques, and communication skills to help you confidently secure your dream tech role.",2025-10-29 22:42:30
329,329,Computer Science for Python Programming,Learn computer science fundamentals and Python programming through hands-on exercises inspired by real-world problems. Develop coding skills in multiple languages and gain a strong foundation in programming concepts.,2025-10-29 22:42:30
332,332,Computer Science for Data Science,"Dive into the fundamentals of computer science and R programming for data analysis. Master abstraction, algorithms, data structures, and statistical computing to manipulate data, create visualizations, and develop actionable insights from massive dataset",2025-10-29 22:42:30
335,335,"Divide and Conquer, Sorting and Searching, and Randomized Algorithms","The primary topics in this part of the specialization are: asymptotic (Big-oh) notation, sorting and searching, divide and conquer (master method, integer and matrix multiplication, closest pair), and randomized algorithms (QuickSort, contraction algor",2025-10-29 22:42:30
336,336,Cryptography I,Cryptography is an indispensable tool for protecting information in computer systems. In this course you will learn the inner workings of cryptographic systems and how to correctly use them in real-world applications.,2025-10-29 22:42:30
337,337,CS For All: Introduction to Computer Science and Python Programming,"A fun, fast-paced introduction to solving interesting problems with computer science through Python programming.",2025-10-29 22:42:30
339,339,CS50's Understanding Technology,This is CS50s introduction to technology for students who dont (yet!) consider themselves computer persons.,2025-10-29 22:42:30
340,340,Artificial Intelligence,"This course introduces students to the basic knowledge representation, problem solving, and learning methods of artificial intelligence.",2025-10-29 22:42:30
342,342,Computer Architecture,"In this course, you will learn to design the computer architecture of complex modern microprocessors. All the features of this course are available for free. It does not offer a certificate upon completion.",2025-10-29 22:42:30
343,343,"Algorithms, Part I","Explore algorithms and data structures with hands-on Java implementations. Learn essential techniques for sorting, searching, and graph processing, emphasizing practical applications and performance analysis.",2025-10-29 22:42:30
345,345,Fundamentals of Computer Science,"Comprehensive XSeries covering programming, data structures, and algorithms. Develop skills for designing complex systems used in popular tech applications and electronic gadgets.",2025-10-29 22:42:30
346,346,Algorithmic Toolbox,"Master algorithmic techniques for efficient problem-solving: sorting, searching, divide-and-conquer, greedy algorithms, and dynamic programming. Gain practical skills in designing and implementing fast, effective solutions.",2025-10-29 22:42:30
347,347,Machine Learning Foundations: A Case Study Approach,"Hands-on exploration of machine learning applications through practical case studies, covering regression, classification, clustering, recommender systems, and deep learning using Python.",2025-10-29 22:42:30
348,348,Usable Security,"Learn to design secure systems with a human-centric approach, focusing on usability, interaction principles, and practical strategies for authentication and privacy in digital environments.",2025-10-29 22:42:30
350,350,Introduction to Computer Science and Programming,"Learn computer science fundamentals, from data and computation to encryption, while gaining hands-on programming experience in Ruby. Explore cutting-edge topics like AI, data mining, and simulations.",2025-10-29 22:42:30
351,351,Sr.Secondary : Computer Science (330),"Comprehensive computer science course covering basic computing, office automation, C programming, databases, web design, and professional skills. Ideal for senior secondary students seeking practical knowledge.",2025-10-29 22:42:30
360,360,Image and Video Processing: From Mars to Hollywood with a Stop at the Hospital,"Explore digital imaging from camera technology to Hollywood special effects and Mars Rover photography. Learn algorithms for image adjustment, compression, segmentation, and medical applications. Optional MATLAB exercises included.",2025-10-29 22:42:30
361,361,"Information Systems Auditing, Controls and Assurance","In the course you will explore risks of information systems, and how to mitigate the risks by proper IS Controls. You will also get familiar with the IS Audit procedures and how they are applied during the IS development throughout the Systems Developmen",2025-10-29 22:42:30
362,362,"Cloud Computing Applications, Part 1: Cloud Systems and Infrastructure","Learn about cloud computing, virtualization, and cloud infrastructure in this 4-week course from the UIUC. Explore major concepts, big data, and cloud service providers. Discover platform as a service, serverless architectures, and cloud storage services.",2025-10-29 22:42:30
363,363,C for Everyone: Programming Fundamentals,"Learn C programming from scratch, covering fundamentals, data types, control flow, functions, recursion, arrays, and pointers. Suitable for beginners and valuable for all disciplines.",2025-10-29 22:42:30
364,364,Functional Program Design in Scala,"Explore functional programming in Scala, covering lazy evaluation, monads, type-directed programming, state management, and timely effects for building larger applications.",2025-10-29 22:42:30
367,367,"Twintrees, Baxter Permutations, and Floorplans in Computer Science - Lecture 2022","Explore the fascinating connections between twintrees, Baxter permutations, and floorplans in this lecture by renowned computer scientist Don Knuth, revealing unexpected relationships in mathematics and data structures.",2025-10-29 22:42:30
368,368,Hardware Security,"Explore hardware vulnerabilities, physical attacks, and secure design techniques. Learn to build trusted systems and protect intellectual property in digital hardware.",2025-10-29 22:42:30
370,370,Neural Networks and Deep Learning,"Explore neural networks and deep learning fundamentals, from building and training models to applying them in real-world scenarios. Gain practical skills for AI development and machine learning applications.",2025-10-29 22:42:30
371,371,"Algorithms, Part II","Explore advanced algorithms and data structures, focusing on graph and string processing. Learn efficient Java implementations and analyze their performance for real-world applications.",2025-10-29 22:42:30
373,373,Machine Learning for Musicians and Artists,"Explore machine learning techniques for creating interactive art, music, and installations. Learn to analyze gestures, audio, and sensor data using classification, regression, and segmentation algorithms.",2025-10-29 22:42:30
375,375,Introduction to Generative AI,"Explore the fundamentals of Generative AI, its applications, and how it differs from traditional machine learning, with an introduction to Google's development tools.",2025-10-29 22:42:30
376,376,Shafi Goldwasser: Journey from Israel to Turing Award - A Life in Computer Science,"Explore Shafi Goldwasser's journey from childhood in Israel to becoming a pioneering computer scientist, covering her education, influences, and experiences that shaped her career.",2025-10-29 22:42:30
377,377,Binary and Computer Science All-in-One Tutorial Series,"Comprehensive exploration of binary systems and computer science fundamentals, covering essential concepts and practical applications in a detailed, accessible format.",2025-10-29 22:42:30
379,379,Unlocking the Power of Generative AI with ChatGPT for Higher Education,"Discover how generative artificial intelligence, such as ChatGPT, Bard, or Bing, can be used by teachers to enrich and optimize the teaching-learning process.",2025-10-29 22:42:30
381,381,Machine Learning: Regression,"Explore regression models for predicting continuous values, from simple linear to complex techniques. Learn to estimate parameters, tune with cross-validation, analyze performance, and implement in Python.",2025-10-29 22:42:30
382,382,Performance Engineering of Software Systems,"This is an 18-unit class that provides a hands-on, project-based introduction to building scalable and high-performance software systems.",2025-10-29 22:42:30
383,383,Software Architecture & Design,Software Architecture and Design teaches the principles and concepts involved in the analysis and design of large software systems.,2025-10-29 22:42:30
384,384,Advanced Algorithms - COMPSCI 224,"Explore cutting-edge algorithmic techniques through comprehensive lectures, enhancing problem-solving skills and deepening understanding of complex computational challenges.",2025-10-29 22:42:30
385,385,ChatGPT Prompt Engineering Course,"Learn prompt engineering techniques for ChatGPT, covering basic concepts, advanced prompts, and practical examples to enhance AI interactions and improve outcomes.",2025-10-29 22:42:30
386,386,GT - Refresher - Advanced OS,This course covers the essential Operating Systems concepts students need in preparation for the rest of the GT Advanced Operating Systems sequence.,2025-10-29 22:42:30
387,387,High Performance Computer Architecture,"The HPCA course covers performance measurement, pipelining, and improved parallelism through various means.",2025-10-29 22:42:30
388,388,Computational Thinking for Problem Solving,"Develop systematic problem-solving skills using computational thinking principles and Python programming, applicable across diverse fields for real-world impact and data-centric challenges.",2025-10-29 22:42:30
389,389,Computer Science and IT at the University of Melbourne - Faculty of Engineering and IT Overview,"Explore computer science and IT programs at Melbourne, covering graduate courses, career prospects, and admission details for aspiring tech professionals.",2025-10-29 22:42:30
391,391,Equality in Computer Science - Sociological and Mathematical Perspectives,"Exploring fundamental issues in programming and mathematics related to equality, assignment, and conversion, with insights on how computer science can provide solid foundations for pure mathematics.",2025-10-29 22:42:30
392,392,Introduction to Computer Science with CS50 - The Most Popular Course on edX,Learn the basics of Computer Science from Harvard's Prof. David Malan in this engaging 39-minute video. Discover key concepts and gain insights into the world's most popular edX course.,2025-10-29 22:42:30
393,393,My Plan B: Exploring Alternative Strategies in Computer Science Research,Explore innovative approaches to software testing and verification with Professor Alastair Donaldson in his Imperial Inaugural lecture.,2025-10-29 22:42:30
394,394,Computer Science Graduate School Research and Programming Best Practices,"Learn essential research and programming practices for computer science grad school, from version control to experiment organization and data visualization.",2025-10-29 22:42:30
395,395,Introduction to the Internet of Things and Embedded Systems,"Explore IoT's impact, components, and design considerations. Learn embedded systems, hardware-software interaction, networking basics, and IoT's role in society. Gain practical knowledge for innovating in the rapidly evolving IoT landscape.",2025-10-29 22:42:30
397,397,Fundamentos TIC para profesionales de negocios: Desarrollo de Software,Tienes que trabajar con las Tecnologías de la Información y te faltan conocimientos? Aprende los fundamentos básicos del desarrollo de software.,2025-10-29 22:42:30
398,398,Advanced Data Structures in Java,"Explore advanced data structures and algorithms for real-world problem-solving, focusing on graphs and their applications in route planning, network optimization, and resource allocation.",2025-10-29 22:42:30
399,399,Practical Machine Learning,"Learn essential machine learning concepts and techniques, from data collection to model evaluation, with hands-on practice using popular algorithms and the caret package in R.",2025-10-29 22:42:30
401,401,Tutorial on Computer Science - Josh Grochow,"Explore key concepts in computer science, from model independence to computational complexity theory, with insights on P vs NP and various computational models.",2025-10-29 22:42:30
402,402,Introduction to Computer Science - Lecture 1,"Embark on a foundational journey through key concepts and principles, setting the stage for deeper learning and understanding in this introductory session.",2025-10-29 22:42:30
403,403,CSEP 590A - Lecture 11: Advanced Topics in Computer Science,"Explore advanced topics in computer science, focusing on cutting-edge research and emerging technologies in the field of artificial intelligence and machine learning.",2025-10-29 22:42:30
404,404,"CS201 - Introduction to Computer Science - November 16, 2023","Explore advanced computer science concepts with renowned expert Zvi Galil in this UCLA lecture, delving into cutting-edge topics and research in the field.",2025-10-29 22:42:30
405,405,CS 201 - Introduction to Computer Science - Lecture 3/16/2023,"Explore Ray Mooney's insights on Jon Postel's contributions to computer science in this UCLA lecture, delving into the foundational principles of internet protocols and networking.",2025-10-29 22:42:30
406,406,Computer Science Topics for Rails Developers - Relevance and Applications,"Explore the relevance of Computer Science topics to professional Rails development, examining their practical applications and limitations.",2025-10-29 22:42:30
410,410,Computer Science,"Explore key computer science topics with expert lectures on neural networks, cloud computing, cybersecurity, deep learning, and internet structure from renowned researchers.",2025-10-29 22:42:30
412,412,Accelerate Your Learning with ChatGPT,"Explore AI-enhanced learning strategies, combining neuroscience insights with ChatGPT to boost cognitive abilities, improve study techniques, and foster critical thinking skills.",2025-10-29 22:42:30
417,417,CS50's Introduction to Artificial Intelligence with Python,Learn to use machine learning in Python in this introductory course on artificial intelligence.,2025-10-29 22:42:30
421,421,Principles of Computing (Part 1),"Enhance Python skills with coding standards, testing, and mathematical problem-solving. Apply probability, combinatorics, and counting to computational challenges through engaging weekly mini-projects.",2025-10-29 22:42:30
422,422,Introduction to Java Programming: Fundamental Data Structures and Algorithms,Learn to enhance your code by using fundamental data structures and powerful algorithms in Java.,2025-10-29 22:42:30
423,423,Introduction to Algorithms,"Comprehensive exploration of algorithmic concepts, data structures, and problem-solving techniques, emphasizing mathematical modeling and performance analysis for computational challenges.",2025-10-29 22:42:30
425,425,Introduction to the Internet of Things,This is a preliminary course in which we deal with the basics of electronics and programming using Arduino and ESP boards.,2025-10-29 22:42:30
426,426,Bitcoin and Cryptocurrency Technologies,"Comprehensive exploration of Bitcoin and cryptocurrency technologies, covering technical aspects, security, economics, and societal impact. Equips learners with knowledge to understand and engage with the crypto ecosystem.",2025-10-29 22:42:30
427,427,Data Structures,"Explore fundamental data structures, algorithms, and their implementations. Learn efficient techniques for managing and manipulating data, from basic arrays to advanced tree structures and hash tables.",2025-10-29 22:42:30
428,428,ChatGPT Tutorial - A Crash Course on Chat GPT for Beginners,"Comprehensive guide exploring ChatGPT's capabilities, from basic usage to advanced applications like coding, writing, and content creation. Ideal for beginners seeking to harness AI's potential.",2025-10-29 22:42:30
429,429,"Data Structures & Algorithms I: ArrayLists, LinkedLists, Stacks and Queues","Master fundamental data structures and algorithms, including ArrayLists, LinkedLists, Stacks, and Queues. Develop skills in time complexity analysis, recursion, and implementation of abstract data types in Java.",2025-10-29 22:42:30
431,431,Introduction to Computer Architecture,"Explore fundamental concepts of computer systems, including processor design, memory hierarchy, and instruction set architecture.",2025-10-29 22:42:30
